time,low,high,open,close,volume
1501545600,2659.62,2946.02,2883.27,2746.99,123174.1
1501632000,2668.87,2773.8,2746.99,2720.53,81817.6
1501718400,2717.62,2822.88,2720.53,2809.99,68102.9
1501804800,2779.51,2892.67,2809.99,2878.49,68760.4
1501891200,2875.91,3344.01,2878.49,3262.8,159402.96
1501977600,3166.52,3295.07,3262.8,3232.03,60660.39
1502064000,3198.51,3425.13,3232.03,3401.91,88111.88
1502150400,3357.15,3494.87,3401.91,3429.38,106940.67
1502236800,3251.03,3437.15,3429.38,3348.79,97062.76
1502323200,3322.92,3453.84,3348.79,3425.67,71000.32
1502409600,3409.79,3706.48,3425.67,3654.37,97564.43
1502496000,3611.36,3967.26,3654.37,3871.62,123593.57
1502582400,3847.31,4189.42,3871.62,4062.6,158586.97
1502668800,3978.95,4336.71,4062.6,4327.94,128460.0
1502755200,3837.13,4436.48,4327.94,4161.66,211581.81
1502841600,3938.62,4398.06,4161.66,4387.4,112901.04
1502928000,4194.1,4487.5,4387.4,4278.92,127475.88
1503014400,3978.28,4362.73,4278.92,4105.37,144398.64
1503100800,3957.46,4189.68,4105.37,4150.45,113724.38
1503187200,4034.4,4182.29,4150.45,4066.6,70163.05
1503273600,3966.93,4097.25,4066.6,4005.1,90644.62
1503360000,3612.21,4142.68,4005.1,4089.7,169138.73
1503446400,4070.49,4255.62,4089.7,4141.09,96649.15
1503532800,4111.71,4364.11,4141.09,4318.35,72358.36
1503619200,4292.63,4461.71,4318.35,4364.41,82901.88
1503705600,4263.28,4379.28,4364.41,4352.3,46159.77
1503792000,4321.12,4408.18,4352.3,4345.75,42516.01
1503878400,4195.23,4403.13,4345.75,4390.31,75486.08
1503964800,4350.22,4647.83,4390.31,4597.31,100801.36
1504051200,4491.79,4644.06,4597.31,4583.02,68471.63
1504137600,4580.13,4765.07,4583.02,4735.11,72293.57
1504224000,4690.17,4925.23,4735.11,4921.85,102012.79
1504310400,4448.64,4976.52,4921.85,4573.8,160770.39
1504396800,4397.74,4719.78,4573.8,4612.92,102823.39
1504483200,4098.58,4621.01,4612.92,4267.45,170399.25
1504569600,4004.62,4496.67,4267.45,4409.08,158410.81
1504656000,4401.53,4660.04,4409.08,4618.71,110931.13
1504742400,4493.2,4690.55,4618.71,4635.6,70531.23
1504828800,4130.88,4699.59,4635.6,4326.45,180364.02
1504915200,4185.33,4402.15,4326.45,4335.13,77087.34
1505001600,4032.15,4338.08,4335.13,4245.89,108075.24
1505088000,4134.62,4364.42,4245.89,4217.9,88757.81
1505174400,4074.97,4387.76,4217.9,4158.92,107041.94
1505260800,3752.01,4174.58,4158.92,3870.29,186540.37
1505347200,3218.98,3930.69,3870.29,3243.08,317592.57
1505433600,2979.88,3824.43,3243.08,3713.76,448551.92
1505520000,3551.83,3893.67,3713.76,3698.92,169361.61
1505606400,3485.83,3796.56,3698.92,3689.61,96068.08
1505692800,3689.0,4122.75,3689.61,4100.28,147927.08
1505779200,3852.22,4120.71,4100.28,3907.96,123214.81
1505865600,3846.76,4053.04,3907.96,3882.16,86645.15
1505952000,3576.54,3912.79,3882.16,3617.27,145124.78
1506038400,3505.81,3753.51,3617.27,3600.83,114717.36
1506124800,3563.18,3813.39,3600.83,3788.02,67820.32
1506211200,3633.88,3790.89,3788.02,3667.52,49661.76
1506297600,3665.67,3971.5,3667.52,3932.83,100194.7
1506384000,3858.75,3982.31,3932.83,3892.7,63252.3
1506470400,3882.08,4232.35,3892.7,4212.2,117596.07
1506556800,4112.88,4274.64,4212.2,4195.65,92228.17
1506643200,4030.37,4237.51,4195.65,4172.79,97803.91
1506729600,4164.25,4383.27,4172.79,4360.62,67493.68
1506816000,4258.32,4412.62,4360.62,4403.09,60583.85
1506902400,4364.67,4477.38,4403.09,4401.32,71201.48
1506988800,4230.73,4435.99,4401.32,4314.18,81867.3
1507075200,4183.57,4355.29,4314.18,4218.66,64081.96
1507161600,4143.35,4365.76,4218.66,4321.44,63613.2
1507248000,4296.93,4422.15,4321.44,4371.94,61692.93
1507334400,4319.48,4472.92,4371.94,4435.81,40202.08
1507420800,4419.36,4622.87,4435.81,4611.7,71366.95
1507507200,4556.15,4875.38,4611.7,4777.49,110191.77
1507593600,4722.81,4930.0,4777.49,4763.36,98485.0
1507680000,4718.6,4874.89,4763.36,4824.2,70482.75
1507766400,4814.98,5432.63,4824.2,5432.62,163916.09
1507852800,5391.97,5852.78,5432.62,5637.26,215018.92
1507939200,5568.86,5839.62,5637.26,5824.71,76224.35
1508025600,5448.22,5862.69,5824.71,5688.14,101636.95
1508112000,5576.1,5795.33,5677.35,5759.33,61358.95
1508198400,5521.09,5773.32,5759.25,5598.58,65637.43
1508284800,5114.87,5601.3,5598.58,5575.83,122020.31
1508371200,5517.62,5737.41,5576.71,5698.65,83056.09
1508457600,5611.39,6075.32,5698.62,5993.11,123860.51
1508544000,5874.54,6187.2,5993.11,6006.65,112943.89
1508630400,5722.98,6070.56,6006.65,5982.86,105030.93
1508716800,5644.22,6048.98,5982.86,5903.61,137140.4
1508803200,5463.41,5904.63,5903.61,5513.08,143735.81
1508889600,5375.64,5747.96,5513.08,5734.0,105839.48
1508976000,5689.92,5970.4,5734.0,5887.61,93675.55
1509062400,5692.32,5997.83,5887.62,5764.56,83933.5
1509148800,5654.8,5871.04,5764.56,5726.61,53232.17
1509235200,5679.37,6295.43,5726.61,6147.52,163055.75
1509321600,6018.97,6226.18,6147.7,6124.28,78624.31
1509408000,6090.83,6467.2,6124.28,6451.24,101249.62
1509494400,6355.0,6738.74,6449.1,6737.78,133191.93
1509580800,6737.77,7339.91,6737.78,7024.81,238796.19
1509667200,6938.93,7445.62,7024.81,7152.12,154886.75
1509753600,6957.84,7492.24,7146.98,7363.8,106602.67
1509840000,7284.33,7599.44,7363.8,7389.55,105727.2
